what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1364069689729
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364069691883
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364069892714
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364069894694
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364069898960
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364069908842
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1364069908846
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1364069908847
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364069909863
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364069911069
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364069912599
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364069931077
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1364069931083
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1364069931083
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364069933611
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364069967108
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1364069967112
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1364069967112
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364069977856
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364069996329
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1364070000994
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1364070001013
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364070001964
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1364070009759
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364070010860
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1364070011087
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1364070011155
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1364070011214
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1364070011319
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1364070011589
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1364070012799
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1364070012859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364070015347
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364070030746
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1364070030754
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1364070030754
